[2025-07-02 15:42:26,726 - INFO]: Listing CASIA-B
[2025-07-02 15:42:37,601 - INFO]: Total files listed: 1118373
[2025-07-02 15:42:37,657 - INFO]: Start pretreating CASIA-B
[2025-07-02 15:42:37,804 - INFO]: Saved 89 valid frames to CASIA-B-pkl/001/bg-01/000/000.pkl.
[2025-07-02 15:42:37,809 - INFO]: Saved 87 valid frames to CASIA-B-pkl/001/bg-01/036/036.pkl.
[2025-07-02 15:42:37,812 - INFO]: Saved 91 valid frames to CASIA-B-pkl/001/bg-01/018/018.pkl.
[2025-07-02 15:42:37,820 - INFO]: Saved 87 valid frames to CASIA-B-pkl/001/bg-01/054/054.pkl.
[2025-07-02 15:42:37,884 - INFO]: Saved 59 valid frames to CASIA-B-pkl/001/bg-01/090/090.pkl.
[2025-07-02 15:42:37,888 - INFO]: Saved 60 valid frames to CASIA-B-pkl/001/bg-01/072/072.pkl.
[2025-07-02 15:42:37,891 - INFO]: Saved 64 valid frames to CASIA-B-pkl/001/bg-01/108/108.pkl.
[2025-07-02 15:42:37,909 - INFO]: Saved 71 valid frames to CASIA-B-pkl/001/bg-01/126/126.pkl.
[2025-07-02 15:42:37,980 - INFO]: Saved 74 valid frames to CASIA-B-pkl/001/bg-01/144/144.pkl.
[2025-07-02 15:42:37,991 - INFO]: Saved 75 valid frames to CASIA-B-pkl/001/bg-01/162/162.pkl.
[2025-07-02 15:42:38,005 - INFO]: Saved 77 valid frames to CASIA-B-pkl/001/bg-01/180/180.pkl.
[2025-07-02 15:42:38,071 - INFO]: Saved 98 valid frames to CASIA-B-pkl/001/bg-02/000/000.pkl.
[2025-07-02 15:42:38,158 - INFO]: Saved 62 valid frames to CASIA-B-pkl/001/bg-02/072/072.pkl.
[2025-07-02 15:42:38,160 - INFO]: Saved 85 valid frames to CASIA-B-pkl/001/bg-02/054/054.pkl.
[2025-07-02 15:42:38,177 - INFO]: Saved 104 valid frames to CASIA-B-pkl/001/bg-02/018/018.pkl.
[2025-07-02 15:42:38,195 - INFO]: Saved 102 valid frames to CASIA-B-pkl/001/bg-02/036/036.pkl.
[2025-07-02 15:42:38,233 - INFO]: Saved 58 valid frames to CASIA-B-pkl/001/bg-02/090/090.pkl.
